,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,continentExp,PopulationDensity
0,22/05/2020,22,5,2020,531,6,Afghanistan,AF,AFG,Asia,56.93776001
1,21/05/2020,21,5,2020,492,9,Afghanistan,AF,AFG,Asia,56.93776001
2,20/05/2020,20,5,2020,581,5,Afghanistan,AF,AFG,Asia,56.93776001
3,19/05/2020,19,5,2020,408,4,Afghanistan,AF,AFG,Asia,56.93776001
4,18/05/2020,18,5,2020,262,1,Afghanistan,AF,AFG,Asia,56.93776001
5,17/05/2020,17,5,2020,0,0,Afghanistan,AF,AFG,Asia,56.93776001
6,16/05/2020,16,5,2020,1063,32,Afghanistan,AF,AFG,Asia,56.93776001
7,15/05/2020,15,5,2020,113,6,Afghanistan,AF,AFG,Asia,56.93776001
8,14/05/2020,14,5,2020,259,3,Afghanistan,AF,AFG,Asia,56.93776001
9,13/05/2020,13,5,2020,280,5,Afghanistan,AF,AFG,Asia,56.93776001
10,12/05/2020,12,5,2020,285,2,Afghanistan,AF,AFG,Asia,56.93776001
11,11/05/2020,11,5,2020,369,5,Afghanistan,AF,AFG,Asia,56.93776001
12,10/05/2020,10,5,2020,255,6,Afghanistan,AF,AFG,Asia,56.93776001
13,09/05/2020,9,5,2020,215,3,Afghanistan,AF,AFG,Asia,56.93776001
14,08/05/2020,8,5,2020,171,2,Afghanistan,AF,AFG,Asia,56.93776001
15,07/05/2020,7,5,2020,168,9,Afghanistan,AF,AFG,Asia,56.93776001
16,06/05/2020,6,5,2020,330,5,Afghanistan,AF,AFG,Asia,56.93776001
17,05/05/2020,5,5,2020,190,5,Afghanistan,AF,AFG,Asia,56.93776001
18,04/05/2020,4,5,2020,235,13,Afghanistan,AF,AFG,Asia,56.93776001
19,03/05/2020,3,5,2020,134,4,Afghanistan,AF,AFG,Asia,56.93776001
20,02/05/2020,2,5,2020,164,4,Afghanistan,AF,AFG,Asia,56.93776001
21,01/05/2020,1,5,2020,222,4,Afghanistan,AF,AFG,Asia,56.93776001
22,30/04/2020,30,4,2020,122,0,Afghanistan,AF,AFG,Asia,56.93776001
23,29/04/2020,29,4,2020,124,3,Afghanistan,AF,AFG,Asia,56.93776001
